year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2016	12242	1	30	Arkansas St.	-	Totals	-	-	-	21	21.00	63.00	165	132	1	5	""	""	""	100,900	36	1.927	124.00	0.775	3	""	""	""	67	""	1	3
2016	12242	1	30	Arkansas St.	-	Opponent Totals	-	-	-	36	32.00	104.00	301	172	1	9	""	""	""	100,900	21	1.124	60.00	0.741	4	""	""	""	123	3	4	14
2016	12242	1	725	Army West Point	-	TEAM	-	-	-	""	""	0.00	""	151	""	""	""	2	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	725	Army West Point	-	Totals	-	-	-	15	14.00	44.00	210	151	""	5	""	""	""	94,799	28	1.595	59.00	0.678	2	""	""	1	97	""	""	4
2016	12242	1	725	Army West Point	-	Opponent Totals	-	-	-	28	22.00	78.00	161	136	1	5	""	""	""	94,799	15	0.854	92.00	0.860	8	""	""	""	62	1	2	11
2016	12242	1	37	Auburn	-	TEAM	-	-	-	""	""	0.00	""	223	""	1	""	3	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	37	Auburn	-	Totals	-	-	-	38	47.00	123.00	374	223	""	11	""	""	""	128,165	23	0.969	88.00	0.793	9	""	""	""	142	3	4	16
2016	12242	1	37	Auburn	-	Opponent Totals	-	-	-	23	20.00	66.00	251	205	""	20	""	""	""	128,165	38	1.601	101.00	0.727	5	""	""	""	75	3	4	6
2016	12242	1	43	Austin Peay	-	TEAM	-	-	-	1	""	2.00	""	141	""	""	""	1	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	43	Austin Peay	-	Totals	-	-	-	42	23.00	107.00	223	149	""	6	""	""	""	100,489	33	1.773	73.00	0.689	4	""	""	""	70	3	3	8
2016	12242	1	43	Austin Peay	-	Opponent Totals	-	-	-	33	22.00	88.00	209	171	2	11	""	""	""	100,489	42	2.257	80.00	0.656	3	""	""	""	76	""	""	10
2016	12242	1	77	BYU	-	TEAM	-	-	-	""	""	0.00	""	179	""	""	""	6	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	77	BYU	-	Totals	-	-	-	33	27.00	93.00	446	179	""	6	""	""	""	115,800	9	0.420	85.00	0.904	14	""	""	""	138	1	1	16
2016	12242	1	77	BYU	-	Opponent Totals	-	-	-	9	4.00	22.00	228	188	""	9	""	""	""	115,800	33	1.539	128.00	0.795	2	""	""	""	79	2	2	3
2016	12242	1	47	Ball St.	-	TEAM	-	-	-	""	""	0.00	""	209	""	2	""	3	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	47	Ball St.	-	Totals	-	-	-	35	21.00	91.00	370	209	2	15	""	""	""	112,662	13	0.623	49.00	0.790	9	""	""	""	105	1	4	14
2016	12242	1	47	Ball St.	-	Opponent Totals	-	-	-	13	9.00	35.00	131	204	""	19	""	""	""	112,662	35	1.678	134.00	0.793	3	""	""	""	54	1	2	3
2016	12242	1	51	Baylor	-	TEAM	-	-	-	""	""	0.00	""	254	""	""	""	1	""	""	0	""	""	""	""	""	""	""	""	""	""	""
2016	12242	1	51	Baylor	-	Totals	-	-	-	33	28.00	94.00	309	265	1	18	""	""	""	111,236	17	0.825	43.00	0.717	6	""	""	""	80	3	3	9
2016	12242	1	51	Baylor	-	Opponent Totals	-	-	-	17	12.00	46.00	150	202	1	22	""	""	""	111,236	33	1.602	99.00	0.750	3	""	""	""	70	1	1	6
2016	12242	1	14927	Belmont	-	TEAM	-	-	-	""	""	0.00	""	176	""	1	""	3	""	""	0	""	5.00	1.000	""	""	""	""	""	""	""	""
