rk,team,div,str,ofs,dfs,sos
326,Williams,D3,-0.329,-0.165,0.164,-0.344
327,Hawaii,D1,-0.331,-0.019,0.312,0.003
328,McDaniel,D3,-0.334,-0.154,0.180,-0.467
329,UTSA,D1,-0.336,-0.010,0.325,0.100
330,American Int'l,D2,-0.345,-0.204,0.141,-0.212
331,Florida Tech,D2,-0.347,-0.285,0.062,-0.246
332,Ursuline,D2,-0.347,-0.228,0.119,-0.352
333,Merrimack,D2,-0.350,-0.140,0.210,-0.244
334,USC Upstate,D1,-0.353,-0.178,0.174,-0.098
335,Washington-St. Louis,D3,-0.356,-0.166,0.191,-0.370
336,Quinnipiac,D1,-0.357,-0.059,0.298,-0.106
337,Ashland,D2,-0.360,-0.201,0.159,-0.313
338,Idaho St.,D1,-0.363,0.036,0.399,0.001
339,Dallas Baptist,D2,-0.363,-0.218,0.145,-0.259
340,Clayton St.,D2,-0.363,-0.113,0.250,-0.274
341,Denison,D3,-0.364,-0.167,0.197,-0.401
342,Carson-Newman,D2,-0.369,-0.081,0.289,-0.276
343,Pace,D2,-0.372,-0.247,0.125,-0.239
344,Emporia St.,D2,-0.382,-0.051,0.331,-0.218
345,St. Lawrence,D3,-0.385,-0.147,0.238,-0.400
346,Sacred Heart,D1,-0.385,-0.058,0.326,-0.073
347,Metro St.,D2,-0.385,-0.287,0.097,-0.293
348,Harding,D2,-0.386,-0.153,0.234,-0.309
349,Ill.-Chicago,D1,-0.390,-0.191,0.199,-0.007
350,Carnegie Mellon,D3,-0.401,-0.175,0.226,-0.387
351,NYU,D3,-0.402,-0.303,0.099,-0.411
352,Green Bay,D1,-0.405,-0.106,0.299,-0.089
353,Bentley,D2,-0.407,-0.215,0.192,-0.249
354,Rollins,D2,-0.410,-0.141,0.269,-0.214
355,Assumption,D2,-0.410,-0.055,0.354,-0.217
356,Chattanooga,D1,-0.411,-0.206,0.205,-0.098
357,Stevens,D3,-0.414,-0.131,0.283,-0.336
358,Tampa,D2,-0.415,-0.175,0.240,-0.217
359,Midwestern St.,D2,-0.416,-0.255,0.161,-0.301
360,Southwestern Okla.,D2,-0.418,-0.232,0.186,-0.300
361,Michigan Tech,D2,-0.419,-0.180,0.239,-0.325
362,IPFW,D1,-0.419,-0.173,0.247,-0.053
363,LIU Post,D2,-0.420,-0.122,0.298,-0.330
364,Franklin Pierce,D2,-0.422,-0.030,0.392,-0.234
365,UMass Lowell,D1,-0.426,-0.103,0.323,-0.076
366,Robert Morris,D1,-0.426,-0.093,0.333,-0.087
367,Belmont,D1,-0.429,-0.270,0.159,-0.013
368,Truman,D2,-0.431,-0.282,0.149,-0.220
369,Howard,D1,-0.433,-0.088,0.345,-0.202
370,Christian Bros.,D2,-0.438,-0.193,0.245,-0.290
371,Saint Francis (PA),D1,-0.439,-0.214,0.225,-0.002
372,Villanova,D1,-0.440,-0.257,0.183,0.076
373,New Mexico St.,D1,-0.441,-0.135,0.307,-0.060
374,Fort Lewis,D2,-0.445,-0.333,0.112,-0.262
375,Kutztown,D2,-0.446,-0.264,0.182,-0.271
376,Rochester Inst.,D3,-0.446,-0.377,0.070,-0.456
377,Augustana (IL),D3,-0.446,-0.148,0.298,-0.414
378,Roberts Wesleyan,D2,-0.447,-0.094,0.353,-0.298
379,Tex. A&M-Commerce,D2,-0.450,-0.359,0.090,-0.236
380,Edinboro,D2,-0.450,-0.181,0.270,-0.309
381,Drury,D2,-0.451,-0.233,0.219,-0.249
382,Ursinus,D3,-0.451,-0.258,0.193,-0.413
383,Scranton,D3,-0.454,-0.265,0.190,-0.420
384,Charleston (WV),D2,-0.455,-0.301,0.154,-0.328
385,Omaha,D1,-0.455,-0.265,0.191,-0.017
386,Cal Poly Pomona,D2,-0.460,-0.230,0.230,-0.298
387,South Dakota,D1,-0.460,-0.161,0.299,-0.099
388,Haverford,D3,-0.460,-0.252,0.208,-0.395
389,LIU Brooklyn,D1,-0.465,-0.151,0.315,-0.053
390,Piedmont,D3,-0.468,-0.361,0.107,-0.563
391,Portland St.,D1,-0.468,-0.398,0.070,0.037
392,Colorado Mines,D2,-0.471,-0.357,0.114,-0.250
393,Augsburg,D3,-0.473,-0.215,0.257,-0.504
394,Chicago,D3,-0.475,-0.229,0.247,-0.360
395,Fort Hays St.,D2,-0.480,-0.334,0.146,-0.246
396,Georgia College,D2,-0.482,-0.230,0.252,-0.233
397,Regis (CO),D2,-0.482,-0.168,0.314,-0.308
398,Maryville (MO),D2,-0.484,-0.244,0.240,-0.287
399,A&M-Corpus Christi,D1,-0.485,-0.236,0.249,-0.061
400,Pacific Lutheran,D3,-0.489,-0.363,0.126,-0.422
401,St. Anselm,D2,-0.490,-0.271,0.219,-0.222
402,Mo. Western St.,D2,-0.490,-0.391,0.099,-0.287
403,Johns Hopkins,D3,-0.490,-0.151,0.339,-0.313
404,Lewis,D2,-0.491,-0.215,0.276,-0.243
405,New Haven,D2,-0.495,-0.196,0.299,-0.217
406,Davis & Elkins,D2,-0.495,-0.199,0.296,-0.404
407,Ohio Dominican,D2,-0.497,-0.206,0.291,-0.246
408,San Fran. St.,D2,-0.499,-0.211,0.288,-0.309
409,Nicholls St.,D1,-0.500,-0.146,0.354,-0.176
410,Prairie View,D1,-0.500,-0.075,0.425,-0.242
411,Luther,D3,-0.501,-0.261,0.240,-0.436
412,Cal St. Stanislaus,D2,-0.501,-0.257,0.244,-0.277
413,Hardin-Simmons,D3,-0.502,-0.155,0.348,-0.550
414,Brandeis,D3,-0.503,-0.338,0.165,-0.400
415,UC San Diego,D2,-0.504,-0.189,0.315,-0.271
416,West Ga.,D2,-0.506,-0.199,0.307,-0.311
417,Ferris St.,D2,-0.506,-0.285,0.221,-0.286
418,Jackson St.,D1,-0.508,-0.260,0.248,-0.138
419,Tusculum,D2,-0.508,-0.081,0.427,-0.242
420,Misericordia,D3,-0.511,-0.246,0.265,-0.365
421,Gettysburg,D3,-0.512,-0.467,0.045,-0.314
422,Lee,D2,-0.512,-0.277,0.236,-0.233
423,Youngstown St.,D1,-0.515,-0.251,0.264,-0.081
424,Emory,D3,-0.515,-0.288,0.227,-0.323
425,Point Loma,D2,-0.518,-0.422,0.096,-0.273
426,Montclair St.,D3,-0.520,-0.230,0.290,-0.413
427,Eastern Ky.,D1,-0.520,-0.209,0.311,-0.025
428,Southern Conn. St.,D2,-0.521,-0.258,0.262,-0.150
429,Central Okla.,D2,-0.524,-0.209,0.315,-0.235
430,Delaware St.,D1,-0.526,-0.343,0.184,-0.116
431,Nova Southeastern,D2,-0.527,-0.139,0.388,-0.269
432,Amherst,D3,-0.528,-0.287,0.241,-0.318
433,Wash. & Lee,D3,-0.530,-0.236,0.294,-0.387
434,Saint Leo,D2,-0.531,-0.153,0.378,-0.234
435,Babson,D3,-0.533,-0.342,0.191,-0.379
436,Wheaton (IL),D3,-0.535,-0.245,0.291,-0.309
437,Springfield,D3,-0.540,-0.305,0.234,-0.340
438,Eastern Ill.,D1,-0.540,-0.266,0.274,-0.131
439,Binghamton,D1,-0.543,-0.318,0.225,0.007
440,Flagler,D2,-0.544,-0.243,0.301,-0.372
441,Rowan,D3,-0.544,-0.379,0.165,-0.420
442,Hanover,D3,-0.545,-0.352,0.194,-0.382
443,Roger Williams,D3,-0.546,-0.426,0.120,-0.404
444,Centre,D3,-0.547,-0.126,0.420,-0.410
445,NJIT,D1,-0.555,-0.258,0.297,-0.130
446,Saginaw Valley,D2,-0.555,-0.231,0.324,-0.195
447,Mont. St. Billings,D2,-0.556,-0.339,0.217,-0.328
448,Bowdoin,D3,-0.557,-0.306,0.251,-0.318
449,Texas Woman's,D2,-0.558,-0.316,0.242,-0.265
450,Calvin,D3,-0.561,-0.279,0.281,-0.401
451,Penn St.-Berks,D3,-0.567,-0.122,0.445,-0.551
452,Berry,D3,-0.570,-0.218,0.352,-0.466
453,Wis.-Whitewater,D3,-0.571,-0.134,0.437,-0.420
454,Bloomsburg,D2,-0.572,-0.346,0.226,-0.276
455,Bemidji St.,D2,-0.572,-0.400,0.172,-0.277
456,Trinity (CT),D3,-0.573,-0.241,0.332,-0.395
457,Seattle Pacific,D2,-0.573,-0.426,0.147,-0.314
458,Queens (NC),D2,-0.575,-0.487,0.088,-0.196
459,Mercy,D2,-0.575,-0.209,0.366,-0.315
460,Nazareth,D3,-0.577,-0.365,0.212,-0.428
461,Rockhurst,D2,-0.577,-0.379,0.197,-0.247
462,Bryant,D1,-0.577,-0.294,0.283,-0.080
463,VMI,D1,-0.579,-0.342,0.238,-0.106
464,Mount Olive,D2,-0.579,-0.216,0.363,-0.333
465,South Carolina St.,D1,-0.580,-0.214,0.366,-0.120
466,Chico St.,D2,-0.582,-0.241,0.341,-0.311
467,Case,D3,-0.582,-0.487,0.095,-0.354
468,Wagner,D1,-0.582,-0.272,0.310,-0.108
469,Winona St.,D2,-0.583,-0.362,0.221,-0.293
470,Tex.-Pan American,D1,-0.584,-0.390,0.194,-0.187
471,Hope,D3,-0.584,-0.297,0.288,-0.424
472,UC-Colo. Springs,D2,-0.587,-0.375,0.213,-0.296
473,Iona,D1,-0.592,-0.211,0.381,-0.070
474,Puget Sound,D3,-0.594,-0.505,0.089,-0.386
475,Notre Dame (OH),D2,-0.599,-0.295,0.304,-0.291
476,Millersville,D2,-0.600,-0.253,0.347,-0.254
477,East Stroudsburg,D2,-0.600,-0.250,0.350,-0.336
478,Denver,D1,-0.604,-0.422,0.181,-0.018
479,Wis.-Parkside,D2,-0.606,-0.327,0.279,-0.232
480,Pomona-Pitzer,D3,-0.611,-0.184,0.427,-0.355
481,Concord,D2,-0.612,-0.331,0.281,-0.300
482,Texas Southern,D1,-0.613,-0.261,0.352,-0.156
483,UNC Pembroke,D2,-0.614,-0.198,0.416,-0.318
484,Incarnate Word,D1,-0.619,-0.265,0.354,-0.033
485,Western St.,D2,-0.619,-0.307,0.311,-0.294
486,Western Ore.,D2,-0.620,-0.343,0.277,-0.292
487,Kean,D3,-0.620,-0.271,0.349,-0.432
488,Southwest Minn. St.,D2,-0.622,-0.417,0.206,-0.289
489,WPI,D3,-0.623,-0.198,0.425,-0.474
490,Palm Beach Atl.,D2,-0.627,-0.240,0.388,-0.254
491,Central Wash.,D2,-0.632,-0.198,0.434,-0.253
492,Upper Iowa,D2,-0.634,-0.304,0.330,-0.292
493,Saint Benedict,D3,-0.635,-0.303,0.332,-0.370
494,Shepherd,D2,-0.636,-0.480,0.156,-0.350
495,California (PA),D2,-0.637,-0.500,0.136,-0.241
496,Ithaca,D3,-0.637,-0.294,0.343,-0.359
497,Trevecca Nazarene,D2,-0.639,-0.355,0.283,-0.382
498,McKendree,D2,-0.640,-0.242,0.398,-0.258
499,Wooster,D3,-0.641,-0.508,0.133,-0.534
500,Southwest Baptist,D2,-0.642,-0.122,0.520,-0.265
501,Cal St. L.A.,D2,-0.642,-0.548,0.094,-0.210
502,Post,D2,-0.644,-0.367,0.277,-0.443
503,Simon Fraser,D2,-0.645,-0.424,0.220,-0.257
504,UIndy,D2,-0.646,-0.434,0.211,-0.184
505,Hawaii Hilo,D2,-0.648,-0.422,0.225,-0.370
506,Rochester (NY),D3,-0.649,-0.400,0.249,-0.264
507,Western Ill.,D1,-0.650,-0.338,0.312,-0.046
508,Wentworth,D3,-0.650,-0.423,0.227,-0.454
509,Mercyhurst,D2,-0.653,-0.309,0.344,-0.310
510,Middlebury,D3,-0.653,-0.241,0.412,-0.365
511,Wartburg,D3,-0.659,-0.279,0.380,-0.396
512,Newberry,D2,-0.662,-0.273,0.389,-0.242
