BEGIN
SET
    date    | site |         team         | div | t_score |         opp          | div | o_score 
 2015-10-13 | home | Dominican (NY)       | D2  |     1.3 | Concordia (NY)       | D2  |     1.1
 2015-10-17 | home | Dowling              | D2  |     1.6 | Assumption           | D2  |     2.1
 2015-10-17 | home | Drake                | D1  |     1.9 | Loyola Chicago       | D1  |     1.5
 2015-10-14 | home | Drew                 | D3  |     0.6 | Scranton             | D3  |     2.5
 2015-10-17 | home | Drew                 | D3  |     1.1 | Goucher              | D3  |     1.2
 2015-10-16 | home | Drexel               | D1  |     0.7 | William & Mary       | D1  |     1.8
 2015-10-18 | home | Drexel               | D1  |     0.9 | Elon                 | D1  |     1.1
 2015-10-16 | home | Drury                | D2  |     1.5 | Wis.-Parkside        | D2  |     0.8
 2015-10-18 | home | Drury                | D2  |     1.4 | Lewis                | D2  |     0.9
 2015-10-17 | home | Dubuque              | D3  |     1.7 | Buena Vista          | D3  |     0.3
 2015-10-15 | home | Duquesne             | D1  |     1.5 | George Mason         | D1  |     1.4
 2015-10-13 | home | D'Youville           | D3  |     2.0 | Pitt.-Bradford       | D3  |     1.3
 2015-10-17 | home | D'Youville           | D3  |     2.9 | La Roche             | D3  |     1.2
 2015-10-13 | home | Earlham              | D3  |     0.7 | Transylvania         | D3  |     2.5
 2015-10-17 | home | Eastern              | D3  |     1.2 | DeSales              | D3  |     2.6
 2015-10-14 | home | Eastern Conn. St.    | D3  |     1.0 | Trinity (CT)         | D3  |     1.5
 2015-10-17 | home | Eastern Conn. St.    | D3  |     3.2 | Southern Me.         | D3  |     0.5
 2015-10-16 | home | Eastern Ill.         | D1  |     1.3 | Eastern Ky.          | D1  |     1.1
 2015-10-17 | home | Eastern Nazarene     | D3  |     1.8 | Salve Regina         | D3  |     1.4
 2015-10-13 | home | Eastern N.M.         | D2  |     2.3 | Tex. Permian Basin   | D2  |     0.7
 2015-10-16 | home | Eastern N.M.         | D2  |     0.5 | Angelo St.           | D2  |     2.2
 2015-10-18 | home | Eastern N.M.         | D2  |     0.7 | Midwestern St.       | D2  |     1.4
 2015-10-16 | home | Eastern Wash.        | D1  |     1.3 | Northern Ariz.       | D1  |     1.2
 2015-10-18 | home | Eastern Wash.        | D1  |     2.0 | Southern Utah        | D1  |     1.1
 2015-10-13 | home | East Stroudsburg     | D2  |     0.9 | West Chester         | D2  |     1.8
 2015-10-14 | home | Eckerd               | D2  |     0.9 | Tampa                | D2  |     1.5
 2015-10-17 | home | Edgewood             | D3  |     4.7 | Lakeland             | D3  |     0.6
 2015-10-17 | home | Edinboro             | D2  |     1.3 | Kutztown             | D2  |     1.2
 2015-10-14 | home | Elizabethtown        | D3  |     1.7 | Moravian             | D3  |     0.6
 2015-10-17 | home | Elmhurst             | D3  |     2.5 | Millikin             | D3  |     0.9
 2015-10-12 | home | Elms                 | D3  |     2.5 | Newbury              | D3  |     0.7
 2015-10-13 | home | Emmanuel (MA)        | D3  |     1.5 | Simmons              | D3  |     1.0
 2015-10-17 | home | Emmanuel (MA)        | D3  |     4.0 | Mount Ida            | D3  |     0.6
 2015-10-17 | home | Emory & Henry        | D3  |     6.0 | Hollins              | D3  |     0.3
 2015-10-18 | home | Emory & Henry        | D3  |     0.6 | Shenandoah           | D3  |     1.4
 2015-10-14 | home | Endicott             | D3  |     1.4 | Tufts                | D3  |     0.8
 2015-10-17 | home | Endicott             | D3  |     3.0 | Western New Eng.     | D3  |     0.9
 2015-10-17 | home | Erskine              | D2  |     1.5 | Pfeiffer             | D2  |     3.7
 2015-10-13 | home | Eureka               | D3  |     3.2 | Iowa Wesleyan        | D3  |     1.2
